"filename", "language", "JSON", "Swift", "C++", "Markdown", "YAML", "XML", "HTML", "Dart", "Properties", "Gradle", "comment", "blank", "total"
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\matador-card.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\nostradamus-card.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\saul-card.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\watson-card.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\cards\roles\which-role.svg", "XML", 0, 0, 0, 0, 0, 3, 0, 0, 0, 0, 0, 1, 4
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\icons\number_holder.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\images\back_ground\title_bg.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\images\back_ground\title_bg_2.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\images\frames\names_frame.svg", "XML", 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\assets\images\nights\moon_hq.svg", "XML", 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 0, 1, 10
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\ios\RunnerTests\RunnerTests.swift", "Swift", 0, 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4, 13
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\ios\Runner\AppDelegate.swift", "Swift", 0, 12, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\ios\Runner\Assets.xcassets\AppIcon.appiconset\Contents.json", "JSON", 122, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 123
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\ios\Runner\Assets.xcassets\LaunchImage.imageset\Contents.json", "JSON", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 24
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\ios\Runner\Assets.xcassets\LaunchImage.imageset\README.md", "Markdown", 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"e:\dart_flutter\my_apps\auto_mafia\auto_mafia\ios\Runner\Base.lproj\LaunchScreen.storyboard", "XML", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 1, 1, 38
